"C04_PERIODO","INS_COD","C04_APC","C04_PEC","C04_IRS"
201611,"ONWQ",125033726543197,16507119143998,13.2
201611,"OONQ",968871862862.6,208395329555,21.51
201611,"PNOQ",98099359056142.5,12990507526213,13.24
201611,"PNOR",102779082625094,13985994276678,13.61
201611,"PNOS",18938221343912.8,2299622914392,12.14
201611,"PNPQ",22254643918102.8,2521124867320,11.33
201611,"PNQQ",17646965462771.4,3229065057181,18.3
201611,"PNQR",9782353399743.5,1299692319981,13.29
201611,"TU",753905929554.6,124316769166,16.49
201611,"PNQS",3393830106001.5,1076116520740,31.71
201611,"PNQT",2611036899912.6,486056922583,18.62
201611,"PNQU",1758587168994.4,265544117330,15.1
201611,"PNQV",175444663118.4,230012094575,131.1
201611,"PNQW",3178410852676.4,855033399580,26.9
201611,"PNRN",215419253325.1,221083121160,102.63
201611,"PNTQ",4985516516426.7,1150640465629,23.08
201611,"PP",1004681239439.8,141227348164,14.06
201612,"TR",1558116803888.3,245421585987,15.75
201612,"SV",68113380805,57313649688,84.14
201612,"SOU",9878800880084.5,1209683479204,12.25
201612,"PW",24939151780750,3344119114351,13.41
201612,"TV",2703826391261.8,490547852123,18.14
201612,"TP",5020476867319.6,663808211842,13.22
201612,"RR",339251510907.8,87899273867,25.91
201612,"ST",11995551636.2,20963821884,174.76
201612,"UN",31615431355.3,35286412444,111.61
201612,"QN",32134360136.8,24012118525,74.72
201612,"PS",22276111934846.6,2516110543610,11.3
201612,"SR",166612297137,220953322173,132.62
201612,"WRN",6036450951046.8,863844058269,14.31
201612,"PP",1006187548158.6,140157630964,13.93
201612,"SN",27237835268726.9,3657707470050,13.43
201612,"WOQ",138486368718688,19519423185440,14.09
201612,"TW",57442221021,199308475452,346.97
201612,"RO",4676975831352.5,652686531716,13.96
201612,"TU",738855169404.7,114270096374,15.47
201612,"OR",26842084663035.8,3729427135995,13.89
201612,"UQ",79319632665.6,126487675793,159.47
201612,"WPW",4457946083650.3,590255701190,13.24
201612,"SP",23195003976909.4,3252174571260,14.02
201612,"UP",58965836254.6,73225843818,124.18
201612,"WTQ",90103445817565.7,12226981012311,13.57
201612,"WUQ",70659034835969.2,9808552716739,13.88
201612,"WVQ",138207513128973,19196180273170,13.89
201612,"WWQ",337821425969.6,396468756088,117.36
201612,"ONOO",160841800286201,22162021404843,13.78
201612,"ONOP",160841800286201,22162021404843,13.78
201612,"ONWQ",124490187624269,16499538835266,13.25
201612,"OONQ",991456344576.2,210107517827,21.19
201612,"PNOQ",97829339196563.5,13031286269496,13.32
201612,"PNOR",102214075689422,13983428291656,13.68
201612,"PNOS",18810267484050.8,2300032549100,12.23
201612,"PNPQ",22276111934846.6,2516110543610,11.3
201612,"TT",991456344576.2,210107517827,21.19
201612,"PNQQ",17462025545215.4,3235962344684,18.53
201612,"PNQR",9697452698672.1,1316494743558,13.58
201612,"PNQS",3326098256582.2,1071934767433,32.23
201612,"PNQT",2581188579819.8,490815516258,19.02
201612,"PNQU",1745042717563.3,254427727338,14.58
201612,"PNQV",191562925243.6,228777265890,119.43
201612,"PNQW",3159485959445.2,850981445260,26.93
201612,"PNRN",166612297137,220953322173,132.62
201701,"SV",59249434426.7,57313239075,96.73
201701,"TR",1670920371319.7,245333438258,14.68
201701,"UP",59615536900.8,73120617039,122.65
201701,"SOU",10103838941334.2,1216903141399,12.04
201701,"TW",160514065589.3,199444638248,124.25
201701,"PU",9079053057547.3,1092301587454,12.03
201701,"SR",199060731005.4,221737097073,111.39
201701,"OR",26806704068263.5,3717026124503,13.87
201701,"QN",34102134259.4,23920498410,70.14
201612,"PNTQ",4957806133331.9,1134472918877,22.88
201701,"ST",11077475939.4,20889064666,188.57
201701,"TV",2700334961637.6,495277919700,18.34
201612,"PU",8931466603966.3,1090349069896,12.21
201701,"WRN",5858406218962.8,851317491043,14.53
201701,"PS",22569525130682.5,2509622587743,11.12
201701,"SP",22812792049236.1,3238288802541,14.2
201701,"RO",4712970848567.8,656611614022,13.93
201701,"WPW",4314907360287,576192297059,13.35
201701,"PW",24785851248288.2,3359578296000,13.55
201701,"TU",713199058820.3,113933608037,15.98
201701,"PP",1010342060362.4,139895343182,13.85
201701,"TT",993735605263.3,213034619886,21.44
201701,"SN",27052029594361.2,3680031519344,13.6
201701,"RR",457867801748.5,88256337124,19.28
201701,"TP",5075965730551.5,667995195680,13.16
201702,"ST",11542264701,20838645276,180.54
201702,"SV",51372165393.7,57311854327,111.56
201702,"TR",1644197674138.9,247915703132,15.08
