"INS_COD","PERIODO","CODIGO","MONTO_TOTAL"
"QNO",201605,"C_1302000",0
"QNO",201605,"C_1302100",0
"QNO",201605,"C_1302200",0
"QNO",201605,"C_1304000",0
"QNO",201605,"C_1304100",0
"QNO",201605,"C_1304102",0
"QNO",201605,"C_1304200",0
"QNO",201605,"C_1304400",0
"QNO",201605,"C_1304500",0
"QNO",201605,"C_1305000",11155328790
"QNO",201605,"C_1305100",0
"QNO",201605,"C_1305300",0
"QNO",201605,"C_1305400",11155328790
"ST",201611,"C_2800000",25297997
"ST",201611,"C_2800060",0
"ST",201611,"C_3101000",20772560489
"ST",201611,"C_3101001",20772560489
"ST",201611,"C_3102000",439240698
"ST",201611,"C_5001000",21022315498
"SV",201611,"C_1000000",154755942527
"SV",201606,"C_1000000",163928058593
"SV",201606,"C_1302000",35721946214
"SV",201606,"C_1302100",25183000118
"SV",201606,"C_1302200",10538946096
"SV",201606,"C_1304000",0
"SV",201606,"C_1304100",0
"SV",201606,"C_1304102",0
"SV",201606,"C_1304200",0
"SV",201606,"C_1304400",0
"SV",201606,"C_1304500",0
"SV",201606,"C_1305000",0
"SV",201606,"C_1305100",0
"SV",201606,"C_1305300",0
"SV",201606,"C_1305400",0
"SV",201611,"C_1302000",46184371683
"SV",201611,"C_1302100",30398147036
"SV",201611,"C_1302200",15786224647
"SV",201611,"C_1304000",0
"SV",201611,"C_1304100",0
"SV",201611,"C_1304102",0
"SV",201611,"C_1304200",0
"SV",201611,"C_1304400",0
"SV",201611,"C_1304500",0
"SV",201611,"C_1305000",0
"SV",201611,"C_1305100",0
"SV",201611,"C_1305300",0
"SV",201611,"C_1305400",0
"SV",201611,"C_1305900",0
"SV",201611,"C_1350000",10857151695
"SV",201611,"C_1350100",0
"SV",201611,"C_1360000",0
"SV",201611,"C_1360100",0
"SV",201611,"C_1400000",0
"SV",201611,"C_1400100",0
"SV",201611,"C_1600000",369177804
"SV",201611,"C_1600101",0
"SV",201611,"C_1600102",303673844
"SV",201611,"C_1600110",-216112482
"SV",201611,"C_1600201",602756670
"SV",201611,"C_1600202",73653429
"SV",201611,"C_1600210",-394793657
"SV",201611,"C_2100000",81578573582
"SV",201611,"C_2100100",80107292188
"SV",201611,"C_2100200",1394212198
"SV",201611,"C_2160000",0
"SV",201611,"C_2160100",0
"SV",201611,"C_2160200",0
"SV",201611,"C_2200000",10977397672
"SV",201611,"C_2200100",10977397672
"SV",201611,"C_2200200",0
"SV",201611,"C_2301000",0
"ST",201611,"C_1000000",23989225633
"ST",201611,"C_1302000",7922007162
"ST",201611,"C_1302100",5991966310
"ST",201611,"C_1302200",1858716195
"ST",201611,"C_1304000",0
"ST",201611,"C_1304100",0
"ST",201611,"C_1304102",0
"ST",201611,"C_1304200",0
"ST",201611,"C_1304400",0
"ST",201611,"C_1304500",0
"ST",201611,"C_1305000",83834713
"ST",201611,"C_1305100",83834713
"ST",201611,"C_1305300",0
"ST",201611,"C_1305400",0
"ST",201611,"C_1305900",0
"ST",201611,"C_1350000",0
"ST",201611,"C_1350100",0
"ST",201611,"C_1360000",6098805500
"ST",201611,"C_1360100",0
"ST",201611,"C_1400000",0
"ST",201611,"C_1400100",0
"ST",201611,"C_1600000",802070569
"ST",201611,"C_1600101",1569520254
"ST",201611,"C_1600102",0
"ST",201611,"C_1600110",-787990507
"ST",201611,"C_1600201",28996247
"ST",201611,"C_1600202",2053298
"ST",201611,"C_1600210",-10508723
"ST",201611,"C_2100000",1295310418
"ST",201611,"C_2100100",1086428905
"ST",201611,"C_2100200",127210199
"ST",201611,"C_2160000",0
"ST",201611,"C_2160100",0
"ST",201611,"C_2160200",0
"ST",201611,"C_2200000",1568253142
"ST",201611,"C_2200100",1566153142
"ST",201611,"C_2200200",0
"ST",201611,"C_2301000",0
"ST",201611,"C_2302000",0
"ST",201611,"C_2402000",0
"ST",201611,"C_2500000",0
"ONOO",201605,"C_3102000",3817783665593
"ONOO",201605,"C_1600101",845363850409
"ONOO",201605,"C_1600110",-273143846655
"ONOO",201605,"C_1304100",1312753154331
"ONOO",201605,"C_1304400",103511846472
"ONOO",201605,"C_1350100",4613420611414
"ONOO",201605,"C_1400000",3093891341924
"ONOO",201605,"C_1304000",36775201906264
"ONOO",201605,"C_2301000",214788393279
"ONOO",201605,"C_5001000",15295471009848
"ONOO",201605,"C_1600201",716509201146
"ONOO",201605,"C_2100200",1393298990904
"ONOO",201605,"C_2200100",66004998855345
"ONOO",201605,"C_1304102",5677774433
"ONOO",201605,"C_1350000",9833302638284
"QN",201604,"C_1302000",31780183491
"QN",201604,"C_1302100",20585496447
"QN",201604,"C_1302200",11194687044
"QN",201604,"C_1304000",0
"QN",201604,"C_1304100",0
"QN",201604,"C_1304102",0
"QN",201604,"C_1304200",0
"QN",201604,"C_1304400",0
"QN",201604,"C_1304500",0
"QN",201604,"C_1305000",0
"QN",201604,"C_1305100",0
"QN",201604,"C_1305300",0
"QN",201604,"C_1305400",0
"QN",201604,"C_1305900",0
"QN",201604,"C_1350000",0
"QN",201604,"C_1350100",0
"QN",201604,"C_1360000",0
"QN",201604,"C_1360100",0
"QN",201604,"C_1400000",0
"QN",201604,"C_1400100",0
"QN",201604,"C_1600000",443794501
"QN",201604,"C_1600101",0
"QN",201604,"C_1600102",126220884
"QN",201604,"C_1600110",0
"QN",201604,"C_1600201",98529698
"QN",201604,"C_1600202",386067900
"QN",201604,"C_1600210",-167023981
"QN",201604,"C_2100000",2876128439
"QN",201604,"C_2100100",2837770304
"QN",201604,"C_2100200",78168
"QN",201604,"C_2160000",0
"QN",201604,"C_2160100",0
"QN",201604,"C_2160200",0
"QN",201604,"C_2200000",10619412469
"QN",201604,"C_2200100",10619412469
"QN",201604,"C_2200200",0
"QN",201604,"C_2301000",7970623093
"QN",201604,"C_2302000",0
"ST",201604,"C_1302000",8681177114
"ST",201604,"C_1302100",6710494030
"ST",201604,"C_1302200",1921336944
"ST",201604,"C_1304000",0
"ST",201604,"C_1304100",0
"ST",201604,"C_1304102",0
"ST",201604,"C_1304200",0
"ST",201604,"C_1304400",0
"ST",201604,"C_1304500",0
"ST",201604,"C_1305000",83401872
"ST",201604,"C_1305100",83401872
"ST",201604,"C_1305300",0
"ST",201604,"C_1305400",0
"ST",201604,"C_1305900",0
"ST",201604,"C_1350000",0
"ST",201604,"C_1350100",0
"ST",201604,"C_1360000",6142837533
